datetime,area_10,area_20,area_30,area_40,area_50,area_60,area_70,area_80
2025-06-23 11:30:00,15.596650651952984,0.15246931799551833,77.51331512525746,130.34112595181386,218.26882556862824,372.6728247506044,686.0363544660813,1517.5262040040034
2025-06-23 12:00:00,11.463594750340794,29.798072226016465,57.639472695775225,100.72148010844495,172.06560398017638,298.40399005244694,567.5414696097139,1290.3506223246377
2025-06-23 12:30:00,20.982749217173527,47.482429186794775,78.79464820770337,127.00173466316903,205.83424035973394,348.3311127198408,1162.3771983071358,2658.0563931816046
2025-06-23 13:00:00,13.975745650363343,36.61726761631731,82.07352984083914,149.9662696329151,253.901368013479,445.81092774247145,850.4134480704288,1923.6863822139858
2025-06-23 13:30:00,14.821809751633122,34.39802016709287,64.70659760159053,113.25420244969132,187.56145748946162,323.84824485568663,606.9192689620436,1353.9984881409428
2025-06-23 14:00:00,14.25226793247377,39.689677688598906,85.15960728013289,160.18208862406408,270.76011236179795,476.22133049216586,919.4363529489829,2157.1201661725645
2025-06-23 14:30:00,12.619931700636414,31.00949012562441,59.159872343308905,102.62708039602802,175.17104899149695,308.29166078332946,586.0684959563341,1335.9295517041828
2025-06-23 15:00:00,9.37964127322229,23.427025237376398,43.76825533602826,73.61434871693518,122.97383185850879,207.5590011976626,380.03741025517456,817.6566771752987
2025-06-23 15:30:00,12.42451032822158,29.58824406993884,53.88071445842314,93.18280938786597,156.35535195214607,269.35990645498623,502.65105240015146,1131.370695187612
2025-06-23 16:00:00,8.934758562811624,25.164729908414714,48.15995948280192,86.81082019335406,148.8662097376921,266.4168103633656,514.504782930002,1195.950280171055
2025-06-23 16:30:00,11.414412069022994,28.518934479342317,51.68523659968721,83.18384076278116,138.1313338157711,233.88578168737456,432.85026220802274,963.0476056100088
2025-06-23 17:00:00,12.667627012812263,33.586701468815505,62.8711160847138,107.20175388855895,181.8250963151015,314.448424215551,597.5528515805895,1381.3202383572639
2025-06-23 17:30:00,10.41657981731774,25.7650210052704,49.7164550659044,91.43382551602195,157.496963888825,284.27448262162716,549.6085757502333,1260.8129055324607
2025-06-23 18:00:00,15.119492445215286,36.822258974428145,71.50498525322023,117.37166353463721,213.6494733217745,369.66434259519804,685.683555845605,1516.3090862377703
2025-06-23 18:30:00,18.639998810422117,46.56242105389067,88.9006544286752,155.04576492101359,266.568216796822,596.9537696098882,1143.6534246172891,2638.9033412707613
2025-06-23 19:00:00,16.041431060000676,40.178956826387775,75.51473374221143,129.17262372986966,217.6906008219653,378.6313070240558,711.5900204291465,1601.493529701991
2025-06-23 19:30:00,12.841478715170322,34.028728996133225,63.95389104941729,111.43807036135398,189.3547686216118,321.7399208363462,597.9578800290806,1336.3441875322924
2025-06-23 20:00:00,10.692445646111274,26.177419498168693,50.041217434844896,87.97582560195934,146.38142678094638,250.899506206535,500.3676230837622,1151.8938977001067
2025-06-23 20:30:00,10.330890066267045,25.883365865848177,48.998486019835724,81.39670684037118,138.10921374209002,234.0475028476014,433.7435944589894,968.1137929697522
2025-06-23 21:00:00,10.194342774318436,25.086906887309226,46.01121667309317,77.86870670568419,132.09428298187447,229.02438868198487,427.1413780407547,966.7895043635544
2025-06-23 21:30:00,6.70201913822396,18.552382790035256,33.21350043909325,56.78155115716066,94.89167463554256,160.63058930314776,291.35163125331246,628.2871190431079
2025-06-23 22:00:00,9.145289598599895,26.400427283656605,53.97611024858497,100.59309360731535,183.93088436920718,335.99399124450883,679.1221379062043,1716.3095300923337
2025-06-23 22:30:00,7.871497980968472,20.093786038549112,41.37270185499598,72.388828855741,121.31747619366718,211.84960484174576,394.8227173754267,876.4020725537412
2025-06-23 23:00:00,16.491824484203896,44.60779463371783,79.35864683889264,134.1481690914889,219.52134817961573,517.5171902902664,975.4366407267182,2203.3490958607745
2025-06-23 23:30:00,11.32268639053995,30.704123882559003,57.595877091739766,100.23184740822829,174.65270160719612,305.90400372133894,582.6747286252682,1349.6990306761516
2025-06-24 00:00:00,1.617616787120653,12.109702207197586,114.47819529925462,190.5039645707616,312.9345876225816,530.8744624188819,966.2547827370236,2092.054646770539
2025-06-24 00:30:00,6.911366115769717,25.139652572488927,48.05304030307581,84.47657438594209,147.59106900241426,281.8021962530386,537.1537469071445,1220.1868559395234
2025-06-24 01:00:00,5.0061739241268475,4.711212371753084,17.914099027560596,37.07126631149268,96.81812729615717,163.16953732184592,294.72706757457894,615.6974270714622
2025-06-24 01:30:00,12.232265117136151,30.396066235288203,57.14360606664923,99.61276284133135,166.5436267536893,288.5249572075536,546.5484206879664,1228.4313725942266
2025-06-24 02:00:00,3.4434756847487,7.6794149691432345,15.040118551344406,25.74707923394739,43.37114540210811,70.93946792524713,127.6681490947625,268.9177863312598
2025-06-24 02:30:00,7.641836802589531,22.055328231148277,42.236424977837615,73.36068677530135,124.16538359408241,214.45153514868588,400.4623904987354,909.5096343536036
2025-06-24 03:00:00,9.760610595944158,24.331989354671833,47.593483980428516,84.09272466702168,146.68891129754775,266.4825506434695,520.6543578303608,1219.9483670554291
2025-06-24 03:30:00,3.2462967717453948,9.451317411361416,16.766326785282768,32.24326916563239,63.03926524376984,122.08440647569488,238.00922037312466,535.230812382671
2025-06-24 04:00:00,6.554851442983826,13.678170214312427,40.339686683812204,71.8371448346223,122.51221207910388,213.25623402286652,385.18629322996424,827.1411801088861
2025-06-24 04:30:00,1.3148831631987807,3.1862619394890386,5.548757425888665,9.652301545609145,15.527663993864842,24.982391343079925,44.20448257059175,86.82873941211722
2025-06-24 05:00:00,10.6625431241179,30.305950939922354,57.57975457221829,100.24260402687781,167.68975111663678,289.63172132985596,536.2913035459751,1195.8519666564607
2025-06-24 05:30:00,9.135156002098327,26.31483289596527,49.39244535112207,84.09583380969863,143.62786931720183,249.51408510702208,476.12051909503907,1082.5059956254818
2025-06-24 06:00:00,12.27520126061654,32.2067494388758,66.15630801362167,4.433577921480527,224.3087605734048,394.40842336637957,751.1975442126131,1685.0654099426793
2025-06-24 06:30:00,12.959315921703741,31.170435512889625,56.304164177912554,219.04471785702998,362.98484376963256,618.7397778604015,1155.1109177889648,2657.152531070802
2025-06-24 07:00:00,10.73704825933631,25.168709264214776,47.932116853474064,85.54872110676196,146.74605483107604,255.8737962057316,481.4928539424393,1083.9080928422718
2025-06-24 07:30:00,12.328128374028738,29.243538562514306,53.458295907562736,90.79847812360984,152.77277839328707,265.33074744223103,504.8606429628543,1182.4579366894027
2025-06-24 08:00:00,10.691245657124568,29.10532425209656,55.379116099431855,95.34321638709815,158.6158221074036,270.5405678959393,497.60342051298994,1097.2999243005477
2025-06-24 08:30:00,8.966843957128617,28.227886073985076,58.40486125369546,163.5941538459324,272.94567947872747,474.20204595565156,903.868558558519,2077.660180065068
2025-06-24 09:00:00,10.671734749730366,28.402273233721345,55.418092481700505,98.15013409582798,168.19939495478778,295.9170982647185,571.166242896046,1326.2743945001273
2025-06-24 09:30:00,14.020286442064467,34.204972477839036,64.04126566603594,110.1457941216259,183.96461231020862,321.30634756189943,602.9364265718912,1368.2082846264802
2025-06-24 10:00:00,17.933026766166584,43.930595968232,82.09152071273144,142.13838741843387,236.4963851573907,407.823623566625,760.0033057684168,1686.6965281787234
2025-06-24 10:30:00,4.888061089757961,15.263690177114771,35.30151036355661,54.50968397427653,74.09804886807075,292.8465966097999,554.8653476049017,1248.3566234957616
2025-06-24 11:00:00,2.5734896882235283,5.873279148351725,16.12411817731391,43.30681630521115,86.22873320672645,172.96873192014624,339.6981370487001,759.1040502288297
2025-06-24 11:30:00,3.426210705482416,13.66381255511888,31.046982632277693,57.79110929932209,104.6346856054993,193.58060920094061,382.4992079218398,895.6058134631126
2025-06-24 12:00:00,8.833192648484301,24.0059883341076,47.004365741519315,81.75040209571921,141.87621776715073,251.5198179336069,482.70236852158416,1146.356205836739
2025-06-24 12:30:00,4.828106564987149,11.162250723804558,21.631435822939828,35.47002618462026,57.60101103604948,94.34118487082243,164.87306106194387,339.78917847488384
2025-06-24 13:00:00,4.188417724419361,10.916709045774466,20.610544647793766,34.848422356804804,59.133231042219236,99.28597652324254,179.65392176336707,377.329531614042
2025-06-24 13:30:00,12.779901821782616,31.533521952675343,60.92807491011655,104.9080092010235,175.86579943286802,303.714427796285,566.7207133764259,1280.858170505453
2025-06-24 14:00:00,8.518522318044388,21.349800920525663,41.18153403684703,70.7658199359137,116.85644759420614,197.90161140618576,354.3774271747685,756.9826954943887
2025-06-24 14:30:00,6.028239217958353,16.634769945764578,30.946506170871885,54.02843055742123,92.48395103956537,162.04715472515647,308.79155288493797,706.6933649235624
2025-06-24 15:00:00,6.093489572093789,14.947958295996523,27.29357696820597,47.88602855969998,77.97845557384797,134.7687857529838,247.06089279301244,539.5519526872888
2025-06-24 15:30:00,6.369567671336157,16.512544044844887,32.1345156170222,54.18746163867378,94.61260028078432,163.89218159053345,309.8431638228183,707.3127136918094
2025-06-24 16:00:00,5.866411697049461,13.509525494864588,27.071687141467912,46.77590897709331,76.81781541173717,132.39418744287494,243.87903842719402,527.8572630811941
2025-06-24 16:30:00,7.062938467782663,17.73748097000652,34.702298652784535,58.27635755621375,94.70863133321973,159.62585825828836,290.3162835163089,622.1116222361674
2025-06-24 17:00:00,9.616931336332783,23.636076805417062,43.370782237175455,73.29622956868128,121.65627542957402,205.87028578537044,375.8012812019464,823.0863007065077
