datetime,regime,z0_m,z0_mm
2025-08-07 09:51:00,katabatic,4.559087111493911e-05,0.04559087111493911
2025-08-07 09:52:00,katabatic,3.052181385788591e-05,0.03052181385788591
2025-08-07 09:53:00,katabatic,4.392487474323463e-05,0.04392487474323463
2025-08-07 09:54:00,katabatic,2.0956285375593856e-06,0.0020956285375593854
2025-08-07 09:55:00,katabatic,1.3739233715655625e-06,0.0013739233715655624
2025-08-07 10:02:00,katabatic,1.6486515342894309e-06,0.001648651534289431
2025-08-07 10:04:00,katabatic,2.1566907775273622e-06,0.002156690777527362
2025-08-07 10:10:00,katabatic,1.0990227753452673e-05,0.010990227753452673
2025-08-07 10:11:00,katabatic,2.7316354310687305e-06,0.0027316354310687307
2025-08-07 10:12:00,katabatic,0.00012933680389482438,0.12933680389482438
2025-08-07 10:13:00,katabatic,1.3560575839617821e-05,0.013560575839617822
2025-08-07 10:14:00,katabatic,3.251779028309433e-06,0.003251779028309433
2025-08-07 10:16:00,katabatic,1.7646665314980673e-05,0.017646665314980672
2025-08-07 10:17:00,katabatic,1.8932713611167374e-06,0.0018932713611167374
2025-08-07 10:19:00,katabatic,6.820356702834902e-05,0.06820356702834902
2025-08-07 10:23:00,katabatic,0.0004203310172791918,0.42033101727919175
2025-08-07 10:25:00,katabatic,8.788300111471962e-07,0.0008788300111471962
2025-08-07 10:26:00,katabatic,1.8694854477506744e-05,0.018694854477506743
2025-08-07 10:28:00,katabatic,2.305671596420146e-05,0.02305671596420146
2025-08-07 10:29:00,katabatic,2.4420604847800233e-05,0.02442060484780023
2025-08-07 10:31:00,katabatic,4.7643796192913714e-05,0.047643796192913715
2025-08-07 10:32:00,katabatic,1.1410543614906966e-05,0.011410543614906966
2025-08-07 10:34:00,katabatic,0.0002576803728403591,0.2576803728403591
2025-08-07 10:35:00,katabatic,6.177355871528464e-07,0.0006177355871528464
2025-08-07 10:36:00,katabatic,1.2814318081938392e-06,0.001281431808193839
2025-08-07 10:37:00,katabatic,1.3868318763527264e-05,0.013868318763527263
2025-08-07 10:38:00,katabatic,0.000148833137717739,0.148833137717739
2025-08-07 10:39:00,katabatic,0.0012933982228332372,1.2933982228332372
2025-08-07 10:40:00,katabatic,0.0034460576292364114,3.4460576292364116
2025-08-07 10:41:00,katabatic,2.077716620467811e-05,0.02077716620467811
2025-08-07 10:42:00,katabatic,0.0016875529743709994,1.6875529743709994
2025-08-07 10:43:00,katabatic,1.9583216373195496e-05,0.019583216373195496
2025-08-07 10:44:00,katabatic,0.0036000838093163774,3.600083809316377
2025-08-07 10:45:00,katabatic,0.0001462933481522738,0.1462933481522738
2025-08-07 10:46:00,katabatic,0.000981168593480786,0.9811685934807859
2025-08-07 10:47:00,katabatic,0.000372145648632884,0.372145648632884
2025-08-07 10:48:00,katabatic,1.28146199490579e-05,0.0128146199490579
2025-08-07 10:49:00,katabatic,0.002352346709240052,2.352346709240052
